ID_Client,ID_Location,ID_ClientCategory,FIO,Register_Date,MoneySpent,Purchases_Count,Adress,Birthday,Sex
74,38,4,ëêïâäñûæüøþññúðøå,2016-1-21,2826,3,ãéîñëöáóéúìï,2015-11-16,æ
75,12,8, îåéåøåîæáëîþôéá,2014-6-19,3388,16,ó è÷éèòáùðãýúðíûå,2015-5-6,æ
76,20,3,èäîæùêñáóöêùû÷üá,2013-6-9,2499,2,åòøñéþðìòíö,2014-6-3,ì
77,34,4,éðüøäö÷àæãíýäàôôäãð,2014-3-11,1337,18,îõðÿü éñüþüÿîô,2016-1-23,ì
78,29,6,çüâäùú÷ìÿõýýäôï,2016-8-13,3061,8, þäëþöàïùüðù,2015-1-5,æ
79,17,4,ñôçíÿäöëøûçûñõûúá÷ëæ,2016-1-21,1204,1,þùâóôôóäþõìíøûððç,2016-3-16,æ
80,31,3,ççéçøñÿëÿöûõòÿõ  öð,2016-10-21,676,5,  øíüÿñóêêç è,2015-5-28,ì
81,20,8,üíàáÿæÿäàñòþìçñ÷üùíëåññáé,2014-4-8,1727,12,ôâàéçìâêüþòèëéðìå,2015-6-20,ì
82,10,6,öö ýäùæëìçú æåò,2013-9-3,4368,2,ÿéãöèçãàüæíõíïãåú ,2015-9-5,æ
83,6,9,ûáõÿöæõãýåã÷âôêâãê,2014-11-18,1003,13,êîÿî÷êùâýîêùäõî÷éöð,2015-3-20,ì
84,31,6,øÿòñúë éöé âêùðóôààïñ,2014-10-19,1754,14,òüõýöôæìëüûúóô÷,2014-10-12,æ
85,1,3,üæäöùøóû÷øóôûüëæóã ëùéáý,2015-10-9,3165,7,æ÷êüëçìùòþòìöõúóìíòò,2016-12-17,æ
86,33,8,ìæåÿÿþëêòüàúöüáü,2014-6-8,1567,9,çîüõîì ÷òéûóôíÿû,2014-10-11,æ
87,9,9,þèðîáðéàþõóìóùçæöåñîõè,2013-5-18,415,7,÷ê õüùèáçãüà ÷äûåâý,2013-4-23,ì
88,9,2,ÿöúëçóïçåÿç÷þêé,2014-1-19,255,7,æöòáêøø ùèéë,2015-12-12,ì
89,36,9,ÿôïçåóñêèýéýûøõýõüñäñãðæ ,2014-6-27,769,16,ïåøòõðìïüóû æ,2015-10-8,æ
90,34,6,üèù÷æáúôäã ôêýåæçî,2015-12-1,2547,2,òãóøÿíûèçõùåûâò÷üö,2016-5-8,æ
91,31,7,êìäìëí âéýöùôðýò ,2013-5-15,1154,13,åûòæëíêþýìæõòöúô â,2014-6-19,æ
92,14,9,ñçíâë÷þ÷óêæêñôó÷üöíàé,2015-4-10,2523,12,ìÿüáðìáîï÷ãêè,2015-11-4,æ
93,17,4,áúûõåäïõàíìþðóðæýó,2014-2-11,4959,18,õøìéüåúåéçàû õ,2015-8-16,ì
94,37,5,æíüùä÷öåûãïõûáõìîþ,2013-2-27,2858,19,òþìüæ ùöáá ôû,2015-4-1,ì
95,35,7,þôýòñèîé øðáäïä àïè,2016-11-1,35,15,øñåûùåýóðá÷ùÿú,2013-4-6,ì
96,5,4,ñíäâúìöáðèôîøèðýå ,2015-6-8,2988,17,æøåõáï íåòóä,2013-6-17,ì
97,23,3,äè ïñ è÷æúöéöùþòóû,2013-12-3,985,2,èåä÷÷ëæþ÷ýèëÿõ÷ûéã,2013-2-6,æ
98,20,3,îàþø þÿìýòäûó þéòîä,2016-2-17,2659,2,éèôüäáçíùüèôã,2013-7-14,ì
99,17,5,çåçíðê÷íæôõùåé âðö÷ìþ,2016-7-11,2328,16,üíêèýò åôý÷ùÿëíü,2013-12-5,ì
100,32,9,éåèüõðìèü ù÷ã÷øêâ,2013-10-18,2587,13,íèÿñðòãçôàüà,2014-1-7,æ
101,10,9,ÿáûüðêåæéïöûþñìòñð÷ôáþ,2013-2-24,1224,9,îüâçè÷õûóûþúüòÿóõðçÿ,2014-2-11,ì
102,34,6,ïðþæãòôüäðìòùûõæîÿéóêç,2014-10-11,49,15,ó÷ðéçíûôöõæüìãèíïã,2014-10-5,æ
103,2,2,þóîòì õ÷ççåêäìôöí,2014-9-8,3758,4,íèæùáúñíîÿû,2013-11-20,æ
104,29,9,âûõòåþÿ÷ýêâíåâõäâàôì ,2013-4-24,1731,10,úóæã ðäàåáäþéúÿòññ,2016-10-7,ì
105,31,6,àöýéïùûêóüÿäþàóÿéõù ã,2013-3-19,580,6,äæãøñâðîæïüâþåéõâ,2016-6-26,æ
106,17,10,öîàãäüüðãâôûâãèøúà,2016-12-2,4726,2,úþëíóâ  çìéåæôæí,2015-8-7,ì
107,6,5,æðæâàáãöáíúêôâèíûôîùé,2013-5-27,1436,7,çüùôöõøýýäöîçïÿëÿý,2015-11-16,æ
108,17,4,ìéèïòôõøèä ëø ÿîôøëöìñïöå,2013-11-24,1071,11,âîãêêôýîããæÿþöùã,2016-6-18,æ
109,9,10,àéîäæãùìí öåêæðêíåàìðü,2016-7-19,4080,17,çáíì÷ùýêì÷ùýóéïôþóë,2013-2-28,æ
110,33,3,îàçëýèïùòáèïüóþõìëúçé,2016-3-27,1823,16,ìèõ òáöåãëîøàèïäÿûü,2015-3-5,ì
111,16,3,îîéâîú÷ñçüãâååõèþä÷,2016-2-1,447,7,çâèîüëùüòëëóðãýàâôâ,2016-10-14,ì
112,9,1,ôøúàñüäöóíçïçüùêåâþüõãõ,2015-12-10,1896,2,óÿõòææäâüó õ öàéëøðû,2016-1-15,ì
113,22,6,èñàüíòôñõöçæäåèïâë,2016-7-16,3387,14,ëó÷ýùçóïüëåüôèáãåóáç,2014-1-17,ì
114,16,8,êðüòøéëéèøãÿèáôúöéîëäáêñ,2016-6-9,4511,8,ñíç÷ë÷ëÿâýüå ñó,2014-10-14,æ
115,2,5,äýéöêåûýåìáòýòàèéèäîñê,2013-1-23,1528,7,õþõéî áèüøÿàëèôòãà,2014-10-14,ì
116,1,8,ðêüùýôãë÷øèææá ,2015-6-24,2863,2,õìûãûôöùñçàåûúð,2016-9-3,æ
117,35,2,èäýîíîñõôìóâòâóà ã,2016-3-25,939,11,ð ùþóýÿçë ãçñ,2013-12-23,ì
118,18,3,úèýþåìúñýöéêæàäÿîâë ýôêö,2014-4-27,2567,10, ìñçìöòøþåûéñð,2013-9-19,ì
119,22,6,ãåõæççîéùõñïïþöè êä,2014-4-5,3261,6,á÷íîçó÷àãæëàòÿö,2013-4-22,ì
120,8,10,çþìàëúõõøàýüïããõäòòå,2013-1-10,2195,4,ýþøïøðñâëóáâããäíùé,2015-9-6,æ
121,40,1, íáçîëòèêùé àÿéùöùøðú é ë,2014-7-23,4594,12,åýúéàóöéùñðãîëù,2015-5-10,ì
122,5,3,ê÷óâîüëì äùöðûæ,2015-2-15,2702,9,äöþûùöâê÷éý÷äïæó,2015-2-8,æ
123,3,7,êð÷çþâüñáðôíòþ,2014-7-26,398,12,éíçàïûõ÷úðêî,2015-7-10,æ
124,4,4, èèìñùýñÿðýñõøýéñíÿû,2015-2-6,1826,9,÷þüâôçõäêíèþ,2016-4-28,æ
125,31,8,ççûíóâêæúíòÿåìûêçìà ,2016-12-27,3010,8,çõò âêðîýÿîññóêà,2016-4-6,ì
126,12,10,îïäâõìäïøïý÷òúøùäæãèíâñ,2016-11-27,3445,9,ôàöî÷þûêõýì,2016-1-13,æ
127,40,9,üåéòìÿüîøûçìû îþ,2015-1-14,1623,13,øóéõñòíàóúâûðñéâä,2014-12-21,ì
128,6,8,þïøãâúîñïÿéæãäÿäíóç,2015-10-7,4729,3,âñôáèíåëïíçîøåýàûþú,2013-7-11,æ
129,16,4,êïîåûèðñéñçóáäùäæ áûïùè,2013-2-9,2510,17,òãîûøéã þíõõ÷íüô ëä,2013-4-3,æ
130,11,8,ïÿàîúòìýüééêúüöäêõåïìôÿîå,2016-8-17,692,4,ùçéñÿëõùëÿàèåøâäâñóæ,2015-7-5,æ
131,20,5,îåõçîôïìéèù èêåøõÿóàå,2015-12-11,2071,7,ìøõòúéèðùöùïôéõ,2015-1-8,ì
132,34,4,ôþá  åïáùöåàüàþíô,2016-7-7,3182,16,éæóëðíøëü÷ïïÿõåäì,2016-11-24,ì
133,33,2,ûôìëñçïìùïðâóäù÷ñìüîýøÿá,2016-1-4,869,6,óåèëûöõööøãûññëöç,2016-7-5,æ
134,22,7,äòàãîçÿêàãèìçæ,2014-7-9,4868,12,âúó÷êïúðäæÿé,2015-3-18,ì
135,27,4,âåàããüèñëñøîæðþïáøú óôýþõ,2013-7-12,44,3,ïîãëýîáæîóòöÿã,2013-10-10,ì
136,11,8,òàüóæìëôíèöþ æýñãâê,2015-8-6,630,7,üòàÿÿëúýæüâúäüåþóäå,2015-11-22,ì
137,19,3,öúùúà øôìáùÿú÷âïúïìüæèâÿì,2013-6-3,184,2,óýõòøøûíûöìÿíé,2013-10-6,ì
138,25,8,÷ÿêúýùøöøâçøðÿâïëæñö,2016-10-5,2451,15,òíãõë÷êêûæí,2016-3-14,æ
139,18,2,äâíûðõóõõúíáääáòþü,2014-4-15,2395,9,ýóëöââåð÷òèæîïèäèòÿ,2013-11-9,ì
140,6,6,èàïâéèôæùûõõåòíáø,2016-3-26,2629,1,äîýòéõêõúäãççïïáïõá,2016-12-16,æ
141,11,3,àäåáûïøìüïêûãïäïîô,2015-12-5,2537,11,ïéãàãì÷ãäðøòêøû÷áèâ÷,2013-12-28,ì
142,6,2,íâóïíñëíàíëá ïûáðýõÿáãçÿï,2016-3-16,2030,6,ûóðäëêáýðÿèá÷ó,2013-8-16,æ
143,6,1,ëâîþçêêçûæç  ïë,2016-3-24,3279,19,ûàæ÷óðíõ øíéï,2013-5-19,ì
144,5,2,úøæîúâîþÿæâëèäåøèóíóáøö,2016-6-1,3682,17,éùóûóóøæõöúâä,2014-1-2,ì
145,35,4,ïáçëãüàéâöòýç÷ëñæþûçîùñ,2013-11-14,344,20,ø÷ñîíïëïèõööóóçï÷,2015-5-12,ì
146,28,6,òïäøòèíëì ïõéçô÷î,2016-9-24,778,19,íàïàü ãÿææ÷çëèàôîñ ,2016-12-19,æ
147,24,1,äÿôôùÿöüýì÷ñäîñý,2014-11-15,2424,11,éööùïþê àü çéî÷õä,2013-3-28,æ
148,29,7,þâî ÿúíùíèöýèðõó,2014-1-18,939,20,âàáïéòò÷èñéèóëóçüøö,2014-4-4,æ
149,31,7,þìðñôüèþýóðíäåí,2013-6-27,1720,18,ðíæçáëâãåæüçïìîé,2015-7-16,æ
150,6,10,üïîçøùàîàâáîïãùêâàô,2013-7-13,2227,16, çó÷ïøäíöïããþ,2013-12-26,ì
151,33,3,ïâùèå ÷ôòþêýóàù,2013-6-15,2882,16,öôúþçõ÷ãõúÿñëãäóðë,2015-11-13,ì
152,32,6,æâýÿæýäèïäâòåì÷úáîø,2015-11-17,4700,15,õöúèñ÷ ìôâòêçú,2014-4-21,æ
153,9,5,úéèâùðúïùýãáüéðóéî,2013-12-18,3051,3,âðêìÿõ÷ëåéæ,2016-1-19,ì
154,32,8,åÿøâüë÷÷íìäàêëè÷âéåï,2015-8-26,2422,6,ùóíýúûïö÷èêãåñõù,2016-10-14,æ
155,7,9,ýîúìôøòåâûùíôâÿæùéíæâ,2014-9-22,794,2,êàÿàûüþòûëõçêàýíð,2013-10-28,ì
156,4,5,ëãæöàôãåýôëùáçûãåé,2016-2-15,1845,16,ãðüëò÷åÿýýîòààë,2014-10-24,ì
157,8,7,õïùñçäæåàêãççîäåì,2013-2-17,1844,2,àþóãíãúâî áïÿòÿñ íàø,2014-11-2,ì
158,27,2,áóë õüó éíèþô÷ðþï,2013-6-12,4837,11,â÷î÷ùêìãñàùôéòýì÷,2013-2-11,ì
159,24,9,óêöùæöæîòãåôàë,2013-9-26,731,8,ûôüíòôæ÷áéâáæâõæîò ì,2015-4-26,ì
160,40,4,òâûýùñçø ýøóúäòèéêå,2014-6-15,4757,19,÷ïøçòçÿçôñû,2013-7-12,ì
161,19,1,ôäááôéâìùáîéþýãõ,2016-12-9,2599,9,÷êëðñëóùå òåî,2013-6-17,ì
162,14,10,çôæ÷îõùòæãíæêòéçü,2015-8-25,12,1,äÿàçýûóü è÷ò ïòòéõä,2015-12-14,æ
163,29,5,ìÿè ü ýéüø øèø ããø÷í,2015-3-17,3852,18,ûìîïøìú ò÷ìüÿæøäþåí,2015-10-18,ì
164,32,2,ôâýôùõöíþïôûê÷ï,2013-11-23,242,2,÷ùþÿõõøëþêõ,2014-7-23,æ
165,31,8,ÿøñâ ùåìôòøçúçæþìâü,2014-5-10,4086,15,üþù ðïàöéóùÿø,2013-9-21,ì
166,39,2,ðíúëðóëïííöøéâ,2013-6-9,525,5,ðçãáüèõú êäæãõ ,2014-7-27,æ
167,35,3,æðüòõìððóóöü ïôçòîñøæàòì,2014-11-8,808,19,ýéíøï÷ïäïéúõî÷ãñìðõ,2016-11-28,æ
168,20,10,øÿèéñõðúñðóøÿüï÷óòþøúð,2015-12-7,3058,8,øìàöéèôëáüàè÷çþóòðø,2016-6-19,ì
169,28,10, ôáîöçâýöõçêøüâðãþí õàî,2015-1-24,3505,8,èìùåáçëäüøÿõ,2013-2-17,ì
170,39,3,êëæéëíæóäáüððòåû ý,2015-5-18,3697,14,âèàõÿÿâþäìùèàåëäñ,2015-5-8,æ
171,25,9,ëôùôùòç üàãðï÷þ,2015-11-23,2474,9,éýøöûáäéûî äàü,2015-10-17,æ
172,28,1,æôóìâìáåýåèöñòñÿù ôêøâ,2016-11-19,361,4,óäíõåà àðñóÿ,2016-1-1,æ
173,23,8,ÿáóôùææöéé îðéè÷êêðüï  ,2013-9-7,2108,16,éóçàôþöëéþôãéñîüö÷,2013-2-14,ì
174,19,9,ûéæóãýìâåíôëðòãèüëîè÷ë,2016-3-7,1373,11,âñãëçìîúóýùíøüíìêëúà,2015-6-12,æ
175,6,7,àìèæøçõü è÷âæååìæôÿðý õà,2014-9-16,2347,3,üìþåý ìóûôåæáæú,2013-10-1,ì
176,1,1,êòíäòïæùùäþîîìøöíïçâüäà,2014-9-25,786,18,òíøåöáéëüóù,2013-1-27,æ
177,40,3, ÿûîúüëâ÷æùýðíëâìå,2014-3-23,4204,3,ÿáãîòîïúþèàîãíåø,2015-10-22,æ
178,33,1,åããøèâôðçÿïðúìäåâöú,2016-11-21,4948,9,ìýòÿæíðòéáó÷ýàéâôè,2015-2-21,æ
179,21,7,åê÷ð÷÷ãåïöàîúú,2015-5-4,2252,18,ôç  èçñæÿáöíàÿà,2014-12-9,æ
180,34,4,ñá çøçøõä÷õæïôíôèõèèðéìí,2013-10-7,1168,20,ðüôàçêýæé ê,2015-12-14,ì
181,17,4,ðøëáüýçüüîúéòþè,2016-4-3,1465,13,äîãëéòúêñÿóìãî è,2015-2-21,æ
182,37,9,ôâ øùüâ÷éûÿþúç ëîâä,2015-5-15,4946,2,òîñ úáüøãæ áõðçëí,2014-9-17,æ
183,27,6,ëàùáîüôýø÷óêîòõòçòïèôîûøé,2014-10-24,883,16,åãêöæôÿööãéæñ,2014-12-22,ì
184,24,8,ðõðçõáâæááâèþò ,2014-3-5,2374,13,ïÿäõéòáòûíñë,2014-7-12,ì
185,3,9,ôìèð  äóéààùÿýúô,2015-3-25,3526,7,áãöðéåëîÿãùôíþæãàããå,2013-5-18,ì
186,34,8, âýêáåàüàëéäùäåôûó÷éþÿçè,2016-12-28,3614,9,ãçâæüøæçàóáãççðõþ,2013-4-4,ì
187,4,9,ôèåîêòöëèõãëïÿîþï,2016-4-8,88,2,ïïøéìâ÷ôîì ôâïô,2013-1-11,æ
188,35,2,ãÿ ë÷ùúþì÷üñâóêãåüòåóâ,2014-7-17,1887,9,ø÷ãóãäìâõíéïó,2014-2-14,æ
189,8,9,òíýæüüýðòåüôù÷ öø,2016-9-25,3171,16,íñÿùêýíôìêòöæù óçíäò,2016-2-21,æ
190,22,9,ôèâàëôñêñâþôçéòÿä,2014-7-7,3992,3,þÿ÷çÿòáÿñåêîöí,2013-8-15,æ
191,30,9,íòïóûóþëîãéèðâïêðâúðêçÿÿö,2014-8-9,3764,18,íðòàóìäéôàê÷ÿ,2015-9-14,ì
192,29,4,óýáóæïòâûäòñîìùãïòüõèïâøè,2013-6-20,4685,7,äýöîöìûï  þ ÿ,2015-5-11,ì
193,12,7,äåäòîòáýôâàûêû÷ñãîò ëüî,2016-12-1,3106,19,æýþçåãüòõãüüñ,2016-4-10,æ
194,29,10,ÿýêýìëúçüäìôííôû,2016-12-5,2454,12,ÿïãêýöôòäáê óìõêõéóø,2015-6-27,æ
195,1,5,ëöãñàëÿïüøÿöæóçùíâêåêèóì,2016-4-23,100,2,æòÿõöæõýéâüèå,2016-5-5,æ
196,25,6,êõíöæ ûöîõÿùüø,2016-12-28,96,19,ø  ôåûåäãñì,2014-4-4,ì
197,40,2,÷æíüçèøíðþúëñýåèó öúê,2014-1-22,1933,3,ù ÷àõðô ýåþøÿ÷ýÿìò,2015-10-13,ì
198,26,6,êéþëíêâéìáóçáôçú,2015-5-6,447,8,ûéîúþôàóñíñ,2014-4-19,ì
199,27,6,÷ôäóþÿáþãöáéåæî,2014-10-21,2616,19,ìýöêáîýïàùðûãþîä,2015-3-24,ì
200,35,9,ôìûûüúùëäåõáéëèùôðèøùù,2014-4-7,2254,15,æïîúüïýêñâóäóêããçâ,2016-8-28,ì
201,4,6,ëøêùàûñøýóðãàì,2016-6-10,2621,3,æîóà÷ëûùãþýÿãçô,2013-2-6,ì
202,28,3,àèîáüèæþõöæôóùìëéóèî,2015-1-2,1243,19,éõèöéöèýìòïë÷ââü,2016-5-15,ì
203,14,9,òàþþëÿêåýèøîñí,2015-1-15,2482,5,ïûéöëêðöàóùþæàúé,2014-1-12,ì
204,40,1,øòñíïæÿüõàõïæÿìü,2013-2-6,702,14,üñèøçãûç÷ù÷ê æ,2016-6-27,æ
