ID_Client,ID_Location,ID_ClientCategory,FIO,Register_Date,MoneySpent,Purchases_Count,Adress,Birthday,Sex
18,19,1,‎תךע‏גםסטלר‏שמןתÿנ,2013-1-26,4213,9,נרזתעûבאÿüכ‎,2015-10-14,ל,
19,35,1,לתכקיזדאûדףשץטטםבךץעע‎ך,2014-7-21,4961,19,כץיותלףרםקכחתÿהטע,2015-6-19,ל,
20,10,2,ÿםדןצךבפיפהסברםמûף,2013-9-27,2200,11,צןוףיקטשלםךזםץמ,2013-1-14,ז,
21,8,4,םץתאüמתÿבüüצומבנ‎ÿמסה,2014-10-11,3423,11,לזגדףשפנזעשפהג,2014-9-5,ל,
22,35,3,דנכגקצעטףüץק‏קמעû,2015-11-1,2462,13,צתרםץקעךקגצל,2013-7-24,ל,
23,13,5,ûÿתÿא‎תשהûאזב‎עוטüרכךקדרש,2015-7-19,3714,6,ס‏ןדדבûÿנעתי,2013-10-11,ז,
24,27,4,ךף‏‎ם‏שנב‏יפתהחם,2016-10-10,4,17,רעטטסםאולגפעלפינצ,2016-8-20,ז,
25,10,5,‎ברתןסרמ‎ךוüןווי,2013-5-3,1031,8,‏צצכ‏אצןחהךפצÿ,2013-7-1,ז,
26,32,6,‎וףךמקעספרןפרגןרÿפחןגפמÿ,2015-6-11,3166,0,üûפü‏ק‎כמףטחה,2016-7-11,ל,
27,17,8,נג‎הצ‎בûמ‎לüחהח,2013-12-27,871,17,ןףניהס‏םכבועטÿגץרמ,2014-10-26,ז,
28,8,3,אלמותשץך‏üומק‎ק,2016-12-10,2327,2,צעצןזנףעםהקזצגררגסמן,2016-2-19,ז,
29,15,8,זךוןפחצבכ‎כגךשטעאאפ,2014-9-19,1735,10,‎המאטילגנהÿ,2013-8-13,ל,
30,27,6,ÿש‎ההרףכתשדאמזבקפעדאלןד‎,2016-7-17,1193,12,רתניבבפץקנתםךדû‎יבפ,2014-3-1,ל,
31,31,7,גשÿשüנלאÿאםחךÿ,2013-3-3,2611,19,נתûכפüלץת‎מüהחרחטטמ,2013-12-21,ל,
32,8,6,סגבדמיץחאü‏גכגשמקסס,2016-3-9,2753,19,םץטüכיתרÿקץתüףךא,2015-6-2,ז,
33,4,7,םאעודקויאהלחןת,2015-12-28,3394,0,ששסםגצמüדכםךק,2014-7-18,ז,
34,21,3,ÿטאןךעגיÿכסןסךקקנמהÿםצע,2015-12-13,4614,0,בפקםÿתחץתנםניוחכפ,2015-4-9,ל,
35,25,6,וךככרשנכטצמעסבקקûפםיםיע,2015-6-6,4287,19,ףשהב‎אה‎קךÿופנץט‎חת‎,2015-11-9,ל,
36,28,5,שלמיה‎אבעסןעהנעטבצזÿיצÿהז,2016-10-4,1085,18,ףדדהעכטדךÿנÿüץםסןהוצ,2013-7-10,ל,
37,36,6,לûיÿםוטכיםש‎ךחסברלקץםüץ,2013-7-17,3343,13,נפדסטףנןאנכודקד‎אןםג,2013-4-5,ל,
38,9,2,טקהגטבטןתוךרלםגלאüלגוü,2015-3-22,4097,0,אטדכתםהבנûהבסüר,2016-7-12,ל,
39,22,4,אגטועעךחקבחקנûחסק,2014-6-13,3753,13,ףגםףüזמפק‎ל,2013-6-7,ז,
40,27,2,זלכלÿצלזקשוצקוףעכמ,2015-12-24,2196,13,חדשזגץשבÿקם‏,2016-6-7,ז,
41,26,8,üלףהנבדעפסד‎לûכץûים,2014-10-19,495,1,הÿחקבגןךטממדץתנעכע,2013-4-22,ל,
42,2,5,וÿעך‏ûוץטציךכחיס‏רפסתנל,2014-4-15,4561,16,רד‏חץאלכקכûפ‎צ,2014-5-4,ז,
43,13,7,כüםשטרהûףאךןזüשקיג‏אח‎כגח,2014-6-12,681,3,נןÿûפמûקכויעך‏ü,2014-4-19,ז,
44,10,7,דץמדצץÿתף‎םטאךךחזעו,2015-5-2,1705,14,עדזטצüדץûיףומחכזס,2016-4-7,ז,
45,19,1,üעןט‎כךדחüכחלÿף,2013-4-3,2319,12,חץןגסüגמבסץ‎תקמסגןû,2015-3-26,ל,
46,16,4,ÿצכמענזÿקריזעףפ,2015-11-26,3941,7,שüיפמ‎יינצÿ,2015-6-3,ז,
47,2,8,עהüשזבûאוזדûקם‏ג,2016-5-4,3053,3,נûךת‏טקפףהץאפךהקלמ,2016-4-2,ז,
48,25,3,üתמשסמרםוהגדובץפףסףךהח‎,2013-7-21,4864,7,פסתעבÿפûדטס‎ץזע,2014-7-4,ז,
49,23,7,וןקתםנÿ‏ףםדוגכ,2014-6-13,2209,17,גךוןץדחÿÿרףתלע‎צם,2013-1-16,ל,
50,8,8,חסצן‎פשגךצתהףץףרר‏יÿיצב,2015-4-6,548,13,בושןךף‏üףך‎נחÿםף‎û,2015-10-13,ז,
51,39,4,ךםעיÿאבאךיהÿüטכאץךûזתף,2016-9-16,1474,15,זץגבבקטךפקתבחע,2013-1-27,ל,
52,7,4,ףץûף‎‏ע‏ףץא‏ץמר,2014-9-21,885,8,שמד‎סüץך‎ÿרÿומ,2016-8-9,ל,
53,20,2,צזהןנקסגב‏וטםזס,2015-2-13,4539,7,ÿקףחג‎ץגן‎אדזט,2014-9-11,ז,
54,33,8,םםזשצמיאצףעבגחםחה‎פש‏ג,2013-4-13,4016,17,יהאףץעדהץקבבû,2013-4-28,ל,
55,29,5,ןרםןüלוסץאכצאפ,2015-2-10,38,10,ץüו‏כםרנסבהץחןץראז,2015-8-6,ז,
56,6,9,מזעורוא‏וüÿםפ‏מ,2015-1-12,4318,10,ףüנרז‏ûחךüכתהס‏ך,2015-2-5,ל,
57,37,6,לסומפס‏תלסהקךדסחןמÿנבפûק,2016-7-15,1124,7,נח‎ש‏ס‏ץלחהץר,2015-1-20,ז,
58,27,4,רפי‎קשףפףבטךןנ,2016-7-14,3440,3,בÿצטÿדמûתûםימÿüטמכ,2015-3-4,ל,
59,4,1,כךחץך‎‎הללעגשנחÿעף,2013-3-11,1320,13,ץרתגןחפדבצ‎דנ,2015-7-10,ל,
60,29,6,העעוטÿטפלÿהכÿץםיש,2013-11-25,4561,3,ענפ‎צדאךתם‎זףהקר,2016-6-24,ז,
61,31,5,כנדץםךûבנכפ‎וץ‎ןיאûק,2014-11-23,2157,1,צךחףץםü‏קÿדנן,2014-2-26,ז,
62,28,7,כא‏בצךהיןנהע‏חףחסקח,2013-1-5,1853,18,סצשזננזצ‎עוחüÿבםאמב‎,2015-10-6,ל,
63,25,1,ת‏כיןךוÿהכגיוםם,2015-2-20,2258,13,‎עחüציצנסןחשהלםךו,2013-3-22,ל,
64,38,5,רצשטבפעזןקךבשדבונûדגם,2015-6-13,1768,4,עכחינזקשיה‏üנ‏העקמח,2016-10-28,ל,
65,3,4,ףךא‎‎יסאכרûÿצüÿחטז,2013-7-23,4248,19,üט‏üכףנםטפךךמום,2016-5-5,ז,
66,37,9,עעתשחףשפןמכףפשאצוףי,2015-12-26,2837,2,üûרטףסלכםüüדיס‎,2015-7-21,ל,
67,16,2,בד‎‎הזסנבץפרתש,2014-1-26,3032,16,רצ‎עכהקקבקטיûףףמûחתנ,2014-3-22,ל,
68,2,3,חכלףןפטץדט‏‏דףץךמםü‎גחך,2013-2-24,3042,0,יקûרקהמנשÿתםשקטךשüף,2015-7-7,ז,
69,11,6,ÿצÿז‏בחץ‏ררגשבמוץ,2013-2-16,403,14,ףכאקשםצüרכםלם‎וףח,2014-8-4,ז,
70,5,8,גלל‏חבהûגת‎א‏דזץף,2013-5-8,3751,19,צץצוףםאףכüיסאמאטטסט,2015-5-21,ל,
71,32,7,‏טû‎צÿקטûב‏ככדג‎ףמרפג,2014-5-14,2397,4,ûפשמקץ‎םצאהÿ,2016-4-6,ל,
72,13,2,ךםעםמגםוגסבזחהÿל‎נ,2014-4-1,106,11,ץת‎ןצ‏תûךעםפ,2014-4-8,ל,
73,39,1,ÿ‏‏ץûרהח‎םעץיגיכנפהםף,2016-11-7,4468,18,דיזעקתלסאמט,2015-2-1,ל,
74,26,1,מ‎לק‎חיףץאüüנח‎‏א,2016-1-21,2826,2,לץתüספûדוא‎ט,2015-11-16,ז,
75,37,7,ÿמלגבץפץישנהסÿזם,2014-6-19,3388,15,בעחûעורךבטÿטמלקץכ,2015-5-6,ז,
76,20,4,התקקבסיררדסטמנüס,2013-6-9,2499,1,חטלרקהעüףÿק,2014-6-3,ל,
77,20,4,מרמûץרטאנטצקבמשפאעו,2014-3-11,1337,17,דץספץחגךשחüנוה,2016-1-23,ל,
78,38,6,ץגן‎בשעשהמשן‏סה,2016-8-13,3061,7,ץחארץבגגךכמד,2015-1-5,ז,
79,35,8,ûüשץר‏םו‏הצבטםבנללזר,2016-1-21,1204,0,üדטתנûזםמ‎ךארףךבצ,2016-3-16,ז,
80,21,7,פץגÿכךצזךןגקתתמךÿנ‏,2016-10-21,676,4,תצראספרףאםקףא,2015-5-28,ל,
81,9,5,דשûץץûגףאם‎עסמüץסר‏ךבצרבה,2014-4-8,1727,11,מüנטקץיףףןףל‏הנÿם,2015-6-20,ל,
82,38,8,‎אסüץףך‏חןûרמקס,2013-9-3,4368,1,üזטסשיסגח‏פמüפצ‎ננ,2015-9-5,ז,
83,36,3,ששÿחףפשאקאטסומעûמא,2014-11-18,1003,12,זבאבמותבךאûבûüררךנü,2015-3-20,ל,
84,35,9,סנאשזגעזננזס‏תלפסםךעמ,2014-10-19,1754,13,רזןלשףשרסצט‎ןקש,2014-10-12,ז,
85,32,9,ץח‏דוûעפיכץר‏כצךגףדשצנג‏,2015-10-9,3165,6,בךאתט‏כטצךזרבûûÿץÿער,2016-12-17,ז,
86,27,8,ולחעךכ‎קכרטהרנûס,2014-6-8,1567,8,שסןפקכךיכתüקמהאג,2014-10-11,ז,
87,28,1,ינסביףבחץבחאדבגגלאקטזך,2013-5-18,415,6,טחפגךסממץקתךזÿ‎ףם‏ב,2013-4-23,ל,
88,19,5,קבצממגשלûכרונכס,2014-1-19,255,6,נרצסמüע‏üן‏ט,2015-12-12,ל,
89,8,8,ץק‏פאאוû‏קעûחאלנשףרÿרפתחף,2014-6-27,769,15,כלמגחוץרישע‎י,2015-10-8,ז,
90,36,3,דךאטואיל‏לטןפטשמזט,2015-12-1,2547,1,םמפףלסגאזÿטגÿרמקכס,2016-5-8,ז,
91,12,4,נÿ‏חכצחמרךץ‏עü‎סü,2013-5-15,1154,12,ךגםזבכחשזוובחסןפץע,2014-6-19,ז,
92,27,2,כםתיחûודחפעצהתטקןךהטצ,2015-4-10,2523,11,סו‎מ‏ףשחימףק‎,2015-11-4,ז,
93,33,3,פקקמסבשכפףקקדחפףנü,2014-2-11,4959,17,ביצףדידהוהץטכת,2015-8-16,ל,
94,18,4,שתכיןממחגןתקקÿרלזט,2013-2-27,2858,18,ירהטסהפ‏דר‏עף,2015-4-1,ל,
95,20,8,שןככאקûאמאלנקûצדנ‏י,2016-11-1,35,14,ףהצאןנצצםפט‏ת‎,2013-4-6,ל,
96,2,4,בףםתרדבקףעןüüץךüגנ,2015-6-8,2988,16,מךםכנרמנלבעא,2013-6-17,ל,
97,3,6,טירחףשüגףטÿזשץץםסס,2013-12-3,985,1,רדעאףפסנבסט‏תüבאכג,2013-2-6,ז,
98,7,2,עב‏שזצעךןזüüוÿדמ‎םק,2016-2-17,2659,1,נאוטüפהûןûםהל,2013-7-14,ל,
99,14,6,מצקץמûüךררםב‏לÿהיכגפם,2016-7-11,2328,15,‎םץכמדפהאףסחותבח,2013-12-5,ל,
100,24,8,רההי‎ךתנלןנגאקיג‎,2013-10-18,2587,12,‎טצןטהט‏ךמץû,2014-1-7,ז,
101,13,5,‏ןץדזךךףלפרחףפצמבטאבץג,2013-2-24,1224,8,‏בדנ‏הסתגףףךןנמאשןתד,2014-2-11,ל,
102,17,8,ץלומזשאשןשךüדזואץקאם‏ס,2014-10-11,49,14,זחיבץץסרבשןגרצט‏טת,2014-10-5,ז,
103,35,7,דמוח‏ףפגעטחפÿתטלז,2014-9-8,3758,3,ןוזחזפץזחצד,2013-11-20,ז,
104,37,2,וץüסךוסיתיטשםטבןונ‎שכ,2013-4-24,1731,9,‏גÿרסחפףףטצצךחר‏מו,2016-10-7,ל,
105,11,1,ףהדג‏ףוןוץבצצךגן‎והנד,2013-3-19,580,5,הוקםתצטסךץהץקדץיÿ,2016-6-26,ז,
106,38,6,הצףנטהתח‎רוקוûוףףח,2016-12-2,4726,1,ף‎ÿטןיתûםטנü‎üןפ,2015-8-7,ל,
107,2,1,עזüרÿכץרצûהממהננףפגקך,2013-5-27,1436,6,üצשלכצכüכטזשךך‏שץל,2015-11-16,ז,
108,38,5,ג‏וםןחצצûעטהחינהארשח‎ודüך,2013-11-24,1071,10,דכûזחםמ‏ההאזצםיÿ,2016-6-18,ז,
109,9,6,ךךנצםאעךלרמךןחץץחםשיןט,2016-7-19,4080,16,םדא‎ציז‏‏û‏קףקףףטקס,2013-2-28,ז,
110,27,7,צםנדיחעסאÿנאפ‎ועעךייג,2016-3-27,1823,15,ץזףÿסךגבהחדףך‏הÿקב‏,2015-3-5,ל,
111,24,5,צםהÿרשדמדקקףרםפü‏רק,2016-2-1,447,6,צרצאהב‎אחסדמקמגןר‏ש,2016-10-14,ל,
112,4,2,רש‏זûאנצץףרששדעםתכÿüךאם,2015-12-10,1896,1,נניגש‎םרעאע‎לüגÿךץאכ,2016-1-15,ל,
113,1,8,תףזזלקע‏לüספץוןעץף,2016-7-16,3387,13,ÿüךהץןליחאנ‏טüשח‎כדה,2014-1-17,ל,
114,27,8,כט‏הכ‏ÿ‎ןי‎חהןץ‎כבטלכüמת,2016-6-9,4511,7,טףûü‎אףנכת‎ננפט,2014-10-14,ז,
115,2,7,עעל‏תשנאגפטה‎ש‎ץףüוטרף,2013-1-23,1528,6,ימףקדחםרעוץרחאפלשט,2014-10-14,ל,
116,35,4,תהזלחאחיסד‏טדתן,2015-6-24,2863,1,קףצסזחצזךרסלץתü,2016-9-3,ז,
117,9,4,טמûכב‎בדאךקג‏üÿפכף,2016-3-25,939,10,פהךחףר‎ûכןקץי,2013-12-23,ל,
118,18,8,רנתשקûלםתץלג‏גבנםםשאשןקפ,2014-4-27,2567,9,ןצלקÿÿבוםייûגו,2013-9-19,ל,
119,22,6,יûצדנבצממהנרכדקקמףû,2014-4-5,3261,5,ההüûףÿף‏קלגסבי‏,2013-4-22,ל,
120,5,5,ךלפדץןדעםףסרנמןםגטצש,2013-1-10,2195,3,קךיעץוÿדכזלח‏פסםןש,2015-9-6,ז,
121,16,8,התהס‏נûה‎דץבגÿתגלûשםשךךזן,2014-7-23,4594,11,‏צהזסנגכÿטסקנתס,2015-5-10,ל,
122,17,1,ÿס‏בותטיצןצקבלב,2015-2-15,2702,8,אטף‏ךםאאטחןשךÿשנ,2015-2-8,ז,
123,20,5,תבילאאûינשףצמע,2014-7-26,398,11,ÿ‎ס‎ףמקבÿגרז,2015-7-10,ז,
124,16,9,מןיקכטתפÿג‎עפתףüצשלנ,2015-2-6,1826,8,סגחאםכםהר‏שפ,2016-4-28,ז,
125,30,6,סףטלחמ‏סגוחנת‎גרפץÿל,2016-12-27,3010,7,רךדקםיםו‎חטüכםוס,2016-4-6,ל,
126,22,4,פנפןץסהוזטהקתטיצעהמגü‏ק,2016-11-27,3445,8,ףךנסזםץעמנש,2016-1-13,ז,
127,19,2,ףבדכ‎רÿקרחק‏עספû,2015-1-14,1623,12,םצאבמחמפהüםûדהגקצ,2014-12-21,ל,
128,35,6,הûםזבעיףצ‏גפפבאûףאכ,2015-10-7,4729,2,שוםüהבבםףםםצםטזסןו‏,2013-7-11,ז,
129,34,4,לטליאזךיקüסתפצלםפנשפנזע,2013-2-9,2510,16,ÿגץפûלûשןסלומו‏זחכץ,2013-4-3,ז,
130,27,4,ץ‎מנץרכססחנטקץמצץאûטצüטûן,2016-8-17,692,3,ןסאאוצפûפעלמךד‎כבםןכ,2015-7-5,ז,
131,37,3,לעשלסקןüיץזבקעÿכüרךרמ,2015-12-11,2071,6,שתךףûכעכדÿעררסט,2015-1-8,ל,
132,2,2,תעמאטייץשדנûשמסצך,2016-7-7,3182,15,אזצנףגÿשםתהטחץüו‏,2016-11-24,ל,
133,21,7,קדרשחüיע‏צוגדהגקÿ‏חםלח‏ץ,2016-1-4,869,5,‎ןפודזףüבÿףגדוÿגס,2016-7-5,ז,
134,13,3,קבדנבףÿזגטקרüכ,2014-7-9,4868,11,שבנהץךÿצגשעü,2015-3-18,ל,
135,6,7,הןחחדךנאתתגגין‏üסץןüשךנבנ,2013-7-12,44,2,סעםפכןצûעחךטלץ,2013-10-10,ל,
136,38,2,אדעןישאüהז‏כשדרםהחצ,2015-8-6,630,6,ש‎יןלרשץצטדנüםנףתגה,2015-11-22,ל,
137,24,6,ףטתומה‏מתנעלך‏ךשום‎ÿצישדז,2013-6-3,184,1,תףכךלצשבבזüץכû,2013-10-6,ל,
138,14,4,רםלירךירסילף‎ןפדלאם‎,2016-10-5,2451,14,רלעיüנ‎יתüב,2016-3-14,ז,
139,26,5,ש‏בףתבטךפשנזבחבÿמק,2014-4-15,2395,8,כפûנגךטתן‏שדזזûנושר,2013-11-9,ל,
140,12,8,ץעסהיל‎סםגתüדשחרד,2016-3-26,2629,0,ו‎כל‎בÿש‏חסןפתקÿ‏ןב,2016-12-16,ז,
141,31,6,ה‎רחיגוחץתכחüקוטונ,2015-12-5,2537,10,קעכשץ‏תןוקץנלÿא‎שתזז,2013-12-28,ל,
142,33,8,ק‏ףחולבקהבלעאזןץסטנÿטאףצח,2016-3-16,2030,5,לףךץףיז‎üוםüדו,2013-8-16,ז,
143,24,1,ןסםדעזצנעךצחגתח,2016-3-24,3279,18,בקצהי‏‎שכןיûפ,2013-5-19,ל,
144,7,6,ÿפשםרסדכן‏סחהדףוüהץסדלה,2016-6-1,3682,16,יüÿנ‎ךûלüצרלס,2014-1-2,ל,
145,9,8,ךנאפ‎דאססוûצהןאזרבץ‎מען,2013-11-14,344,19,כניצצןזכםיûאץüגפÿ,2015-5-12,ל,
146,34,3,‎ץדטדהקוץיפסןוגüכ,2016-9-24,778,18,דצü‏יולצכאץכתומחךיו,2016-12-19,ז,
147,29,7,עמÿכתהרתטסמברןוד,2014-11-15,2424,10,ינכûץשטץכדבחבגטית,2013-3-28,ז,
148,14,5,טמ‎ÿקדףץךןהחםתו‎,2014-1-18,939,19,ÿףףלדכרץüאûטצûסנ‏דץ,2014-4-4,ז,
149,17,5,כך‎אןםחחךידגמ‏ד,2013-6-27,1720,17,וןאע‎םרף‎‏נטדתנכ,2015-7-16,ז,
150,24,7,נומזנםת‎הכםץיתםםסמך,2013-7-13,2227,15,כםעעצממהףוגדז,2013-12-26,ל,
151,17,2,סבךץכץיטישÿקגûש,2013-6-15,2882,15,ןגזנארלךסדוךמריתטן,2015-11-13,ל,
152,13,9,ךףתףכודפנבעדףחףטמתם,2015-11-17,4700,14,ר‏כקטועןרלפאדצ,2014-4-21,ז,
153,38,1,ללנךבשה‏סהקךתÿדעגל,2013-12-18,3051,2,ןעפÿüץלץ‏זס,2016-1-19,ל,
154,6,1,ירגןש‎ûנףץûשÿ‏קתשעץע,2015-8-26,2422,5,אמסןף‏וך‏הבסתוגü,2016-10-14,ז,
155,14,6,‏זט‏קםûסהתשטזשןסיצודצ,2014-9-22,794,1,נחפזץיקÿבûתואכזמא,2013-10-28,ל,
156,18,9,טפוהגוסבךףררûüן‏ךם,2016-2-15,1845,15,אשפÿÿישםקףג‏דק‏,2014-10-24,ל,
157,27,8,קמבפזדהיףרנושמנüפ,2013-2-17,1844,1,חעןלזצב‏ûרצןרץזימהüר,2014-11-2,ל,
158,14,6,פץעמן‎ףההüÿחלקקÿû,2013-6-12,4837,10,כבכ‎דםםזאעחץץךאךר,2013-2-11,ל,
159,22,1,נםצם‎אנהםעץכשי,2013-9-26,731,7,וטתÿעטטם‎חמקעםבחבדüד,2015-4-26,ל,
160,25,7,חמץקûזעעשתהנג‎התזםה,2014-6-15,4757,18,ים‎טהחם‎פךו,2013-7-12,ל,
161,20,7,גקבקוץטשקüבÿעזעח,2016-12-9,2599,8,מגלף‏חüאקתחענ,2013-6-17,ל,
162,31,6,מטלתמיבנםין‎ודףצו,2015-8-25,12,0,üף‎‎ףא‏אץררננוüזלרה,2015-12-14,ז,
163,33,7,יÿ‏ןבךüעאשסםÿלכטקחנ‏,2015-3-17,3852,17,ליוזףמדומרüשüפרץנת‎,2015-10-18,ל,
164,13,8,עü‎חקפוזצב‎ברשף,2013-11-23,242,1,שצנגüנרהיםר,2014-7-23,ז,
165,20,2,ÿס‎ה‏סהצןוקקדטמלקץנ,2014-5-10,4086,14,יןתףמצד‎‏גןלץ,2013-9-21,ל,
166,30,7,נתתצ‏אש‏מפס‎וק,2013-6-9,525,4,ורטפלûצאÿבמאמזח,2014-7-27,ז,
167,28,5,תûגÿב‏כיסזןחץ‎ÿקדע‏‏ÿלטת,2014-11-8,808,18,ץחüכזםבÿחרץבדקÿנץךמ,2016-11-28,ז,
168,23,5,גצננשסאüבצûךפחםלםבךנםפ,2015-12-7,3058,7,קזצûÿטגוץמתדןהי‏בÿה,2016-6-19,ל,
169,8,4,כסüנחתםוררüשףÿגקכהןüקעע,2015-1-24,3505,7,‏שעûצנםטפיןר,2013-2-17,ל,
170,7,2,ûחיחםלם‎זמüםûדזûמס,2015-5-18,3697,13,‏סץÿנגמפףףולףצûפב,2015-5-8,ז,
171,2,2,לךתגקבקזנ‏בגלû‎,2015-11-23,2474,8,צהתםגח‏פןקך‏יÿ,2015-10-17,ז,
172,31,2,מחזש‏זשלבחסצןקףצ‏בסזךא,2016-11-19,361,3,בכ‎ÿבףזהקלקח,2016-1-1,ז,
173,10,1,ובבקÿûÿüשף‏וכקחטהוסץהנן,2013-9-7,2108,15,ןשךשרזנבננרûעתטÿוÿ,2013-2-14,ל,
174,28,1,קנדגמÿÿףמכשךקהפעתחגÿלח,2016-3-7,1373,10,‎‎הזמüפסûןכתתזםא‎שאי,2015-6-12,ז,
175,2,8,ובקהÿüחףףשחטשתט‏כוג‏גÿשל,2014-9-16,2347,2,תÿחûחשעכÿראדשוה,2013-10-1,ל,
176,13,4,רזכגץדרלטû‏ןאסהז‎ףםשץעû,2014-9-25,786,17,û‏עךשרךתההü,2013-1-27,ז,
177,6,9,ףטüתאüמפ‏‎קףססץמזא,2014-3-23,4204,2,שוףדשצןזיתםםפüאל,2015-10-22,ז,
178,3,6,אקבוÿככעקםםץפדדטûמü,2016-11-21,4948,8,א‏וקÿ‏נתכצמכץחןםÿת,2015-2-21,ז,
179,32,9,קיזגווûחךüךהשב,2015-5-4,2252,17,ןזקצצלûטךףץינהü,2014-12-9,ז,
180,14,1,üטצילאüמשוםÿûüחעאףפצךןעח,2013-10-7,1168,19,‏סקפ‏סעסüץכ,2015-12-14,ל,
181,23,5,ףשםםוההûגעוצפûצ,2016-4-3,1465,12,זסאנשזץקעךששגüאל,2015-2-21,ז,
182,23,2,נûשנזאןאהזברןטעג‏על,2015-5-15,4946,1,אצץגכןûדץםלךנטצ‏û,2014-9-17,ז,
183,30,5,אותד‎ÿקדצחכטחץשצסûתקטכלתל,2014-10-24,883,15,זהûנצÿדלדüטסü,2014-12-22,ל,
184,9,3,ףןבךÿביûשמעףצחצ,2014-3-5,2374,12,תאנזחכקשןומט,2014-7-12,ל,
185,38,3,עסבצתןאסגץקנערשן,2015-3-25,3526,6,סד‎ךזüוקכהלמוûתואככר,2013-5-18,ל,
186,30,2,ûוכתצצלûםובקטךןסלוך‎ע‎כÿ,2016-12-28,3614,8,נתנÿםגץ‎ןיאצםס‎‎ÿ,2013-4-4,ל,
187,17,7,תטרםעטגסבםדגץרומפ,2016-4-8,88,1,לûתכ‎הלםסאמוסונ,2013-1-11,ז,
188,25,8,זנסהץפעüגפÿלםüהÿיכרהקה,2014-7-17,1887,8,קÿגצפüמחההלמט,2014-2-14,ז,
189,18,8,טאüןםÿקפ‏םחק‎שןÿט,2016-9-25,3171,15,ירûןכüךסתפףחיק‎טבצל‏,2016-2-21,ז,
190,27,6,פדûשאעשü‎ךחצזךעכÿ,2014-7-7,3992,2,ךץ‏פכליח‏ןמעןך,2013-8-15,ז,
191,35,9,נüלעםחיגןמלספכצפלתגדגכעכא,2014-8-9,3764,17,גקקיןשüאשץ‏üח,2015-9-14,ל,
192,5,8,ערגדקט‎פש‏בץעדהעךךאכףסירצ,2013-6-20,4685,6,ץףרüכשךץךûכגש,2015-5-11,ל,
193,30,4,ףרלרךוןפןםנÿ‎מיאפûנותסü,2016-12-1,3106,18,תÿףÿנמעשüüעשû,2016-4-10,ז,
194,20,5,האפךדשינחפדÿÿעער,2016-12-5,2454,11,בע‎קלפףביחûהכושךאעךד,2015-6-27,ז,
195,21,2,חךנגניבüףחףלר‎בךגסנûצדנÿ,2016-4-23,100,1,םûםקחבועןבבןט,2016-5-5,ז,
196,15,4,ץסזûןםנבףדמטûן,2016-12-28,96,18,געחם‎ץדם‏םמ,2014-4-4,ל,
197,19,5,‏טךסטסץÿקüץÿןההרמטתפח,2014-1-22,1933,2,שעטץפנבםüטךדסךהüמפ,2015-10-13,ל,
